Channel Id,Channel Url,Channel Title
UCj3Eqiob8ju1Z3RCJpNMdig,http://www.youtube.com/channel/UCj3Eqiob8ju1Z3RCJpNMdig,Luxury World
UCkxHt7gF8r7UisxbmcZ2kFw,http://www.youtube.com/channel/UCkxHt7gF8r7UisxbmcZ2kFw,MIT School of Science
UCnKBnAgFboUrvcbwh3jq4fQ,http://www.youtube.com/channel/UCnKBnAgFboUrvcbwh3jq4fQ,Altı Qara Pişik
UCprhwr86ckrMC2q9jX8qMnw,http://www.youtube.com/channel/UCprhwr86ckrMC2q9jX8qMnw,Ashnikko
UCq6VFHwMzcMXbuKyG7SQYIg,http://www.youtube.com/channel/UCq6VFHwMzcMXbuKyG7SQYIg,penguinz0
UCsXVk37bltHxD1rDPwtNM8Q,http://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell
UCuU0qYesQjAT_qXcQJqgV3w,http://www.youtube.com/channel/UCuU0qYesQjAT_qXcQJqgV3w,PintiPanda TV
UCv6jcPwFujuTIwFQ11jt1Yw,http://www.youtube.com/channel/UCv6jcPwFujuTIwFQ11jt1Yw,Barış Özcan
UCvC4D8onUfXzvjTOM-dBfEA,http://www.youtube.com/channel/UCvC4D8onUfXzvjTOM-dBfEA,Marvel Entertainment
UCwRqWnW5ZkVaP_lZF7caZ-g,http://www.youtube.com/channel/UCwRqWnW5ZkVaP_lZF7caZ-g,Retro Game Mechanics Explained
UCxX9wt5FWQUAAz4UrysqK9A,http://www.youtube.com/channel/UCxX9wt5FWQUAAz4UrysqK9A,CS Dojo
UCzTR9iSH-TFC4-ocDS_ll4A,http://www.youtube.com/channel/UCzTR9iSH-TFC4-ocDS_ll4A,Sheet Music Boss

